Implementation_Order,New_Build_Rank,Next_Candidate_Rank,SKU_ID,Product,Product_Family,Implementation_Status,Mapped_Working_SKU,Decision_Tier,Priority_Score_0_100,Creation_Effort_1_5,Validation_Effort_1_5,Commercial_Risk_1_5,Trend_Score_0_100,Estimated_Market_Fit_1_5,Market_Evidence_Confidence_1_5,Strategy_Fit_1_5,AM_Differentiation_1_5,Portfolio_Leverage_1_5,Digital_First_Fit_1_5,Economics_1_5,Source_IDs,Scoring_Rationale,Next_Action,Scored_On,Scoring_Version,Score_Status
101,64,,SKU-219,Ribbon-offcut and gift-tag drawer file,Small-space dry organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,3,1,90.0,5,3,5,5,4,5,4,S31; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
102,65,,SKU-242,Fabric-swatch card index,Needlecraft and sewing organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,93.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Measure one representative set and print the tightest slot or channel coupon before the full organizer.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
103,66,,SKU-245,Thimble-and-notions drawer micro-grid,Needlecraft and sewing organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,3,1,92.0,5,3,5,5,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Measure one representative set and print the tightest slot or channel coupon before the full organizer.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
104,67,,SKU-246,Needlepoint-canvas roll end cradles,Needlecraft and sewing organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,90.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Measure one representative set and print the tightest slot or channel coupon before the full organizer.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
105,68,,SKU-249,Quilt-block layout label token tray,Needlecraft and sewing organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,91.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Measure one representative set and print the tightest slot or channel coupon before the full organizer.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
106,69,,SKU-251,Circular-knitting cable size cassette,Needlecraft and sewing organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,92.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Measure one representative set and print the tightest slot or channel coupon before the full organizer.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
107,70,,SKU-252,Knitting-needle pair divider modules,Needlecraft and sewing organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,92.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Measure one representative set and print the tightest slot or channel coupon before the full organizer.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
108,71,,SKU-253,Crochet-gauge swatch archive rack,Needlecraft and sewing organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,92.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Measure one representative set and print the tightest slot or channel coupon before the full organizer.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
109,72,,SKU-254,Yarn-label archive card file,Needlecraft and sewing organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,92.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Measure one representative set and print the tightest slot or channel coupon before the full organizer.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
110,73,,SKU-256,Paper-quilling strip color divider,Social and paper-craft organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,3,1,91.0,5,3,5,5,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
111,74,,SKU-258,Polymer-clay cutter silhouette index tray,Social and paper-craft organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,92.0,5,3,5,5,4,4,3,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
112,75,,SKU-260,Charm-bar component sorting palette,Social and paper-craft organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,92.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
113,76,,SKU-261,Friendship-bracelet thread project tray,Social and paper-craft organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,91.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
114,77,,SKU-262,Scrapbook die-cut sorting fan,Social and paper-craft organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,91.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
115,78,,SKU-265,Paint-party brush-and-name station,Social and paper-craft organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,92.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
116,79,,SKU-267,Mosaic-tessera color staging grid,Social and paper-craft organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,91.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
117,80,,SKU-268,Miniature-basing sample archive,Social and paper-craft organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,89.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
118,81,,SKU-270,Pressed-flower dry sorting frame insert,Social and paper-craft organization,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,91.0,5,3,5,5,4,4,3,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
119,82,,SKU-284,Today's-memory postcard stand,Sentimental display and archive,NOT_STARTED,,2 VALIDATE NEXT,88.0,1,1,1,88.0,4,3,4,4,5,5,4,S01; S31; S34; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 4/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Validate one inert object or card set and print a contact/recess coupon before the complete display.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
120,83,,SKU-293,Birthday-month token row,Personalized celebration displays,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,92.0,5,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Approve one personalization proof and print a representative slot/text coupon before the complete display.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
121,84,,SKU-294,Friendship-memory note capsule stand,Personalized celebration displays,NOT_STARTED,,2 VALIDATE NEXT,88.0,1,1,1,91.0,4,3,5,4,4,5,4,S33; S01; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Approve one personalization proof and print a representative slot/text coupon before the complete display.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
122,85,,SKU-312,AirTag 2nd-generation open-top desk display tile,Named keepsake and tracker display,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,3,1,92.0,5,3,5,5,4,5,4,S31; S32; S49; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print the 32.5 mm open recess coupon and test one exact second-generation AirTag for free removal, sound opening and surface marking.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
123,86,,SKU-501,IKEA BILLY 002.638.50 80 cm shelf gift-wrap roll end-support pair,Named-shelf roll retention,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,99.0,5,3,5,5,4,4,3,S33; S31; S11; S19; S32; S62; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print a 280 mm depth gauge and one end support, then measure the real inner shelf span of one assembled unit before any BILLY compatibility wording.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
124,87,,SKU-502,IKEA BILLY 502.638.38 40 cm shelf gift-wrap roll end-support pair,Named-shelf roll retention,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,99.0,5,3,5,5,4,4,3,S33; S31; S11; S19; S32; S63; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print a 280 mm depth gauge and one end support, then measure the real inner shelf span of one assembled unit before any BILLY compatibility wording.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
125,88,,SKU-503,IKEA IVAR 303.181.63 83 x 30 cm shelf gift-wrap roll end-support pair,Named-shelf roll retention,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,99.0,5,3,5,5,4,4,3,S33; S31; S11; S19; S32; S64; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print an 18 mm board-thickness gauge and one end support, then test grip and roll retention on one real IVAR board before any compatibility wording.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
126,89,,SKU-504,IKEA IVAR 803.181.65 83 x 50 cm shelf gift-wrap roll end-support pair,Named-shelf roll retention,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,99.0,5,3,5,5,4,4,3,S33; S31; S11; S19; S32; S65; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print an 18 mm board-thickness gauge and one two-row support, then test rear-row access on one real IVAR board before any compatibility wording.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
127,90,,SKU-505,IKEA IVAR 103.181.59 42 x 30 cm shelf gift-wrap roll end-support pair,Named-shelf roll retention,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,99.0,5,3,5,5,4,4,3,S33; S31; S11; S19; S32; S66; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print an 18 mm board-thickness gauge and one end support, then confirm that a single 700 mm roll overhangs safely on one real IVAR board.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
128,91,,SKU-506,IKEA KALLAX 802.758.87 compartment gift-wrap roll cradle,Named-shelf roll retention,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,99.0,5,3,5,5,4,4,3,S33; S31; S11; S19; S32; S67; S52; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print 326.3/327.0/327.7 mm span gauges and one cradle, then verify free removal from one exact KALLAX unit before any compatibility wording.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
129,92,,SKU-507,DIN A6 105 x 148 postcard archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S59; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one A6 lane coupon and test snagging, tab legibility and single-handed retrieval with real postcards before any format wording.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
130,93,,SKU-508,DIN A5 148 x 210 archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S59; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one A5 lane coupon and test bow, snagging and single-handed retrieval with real A5 media before any format wording.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
131,94,,SKU-509,DIN A7 74 x 105 archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S59; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one A7 lane coupon and test finger access, snagging and tab legibility with real slips before any format wording.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
132,95,,SKU-510,ISO C6 114 x 162 envelope archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S59; S46; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one C6 lane coupon and test both empty and lightly filled envelopes for snagging and retrieval before any format wording.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
133,96,,SKU-511,ISO DL 110 x 220 archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S59; S46; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one DL lane coupon and confirm that the 220 mm lane still fits the customer drawer before any format wording.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
134,97,,SKU-512,instax mini 86 x 54 archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S41; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one 86 x 54 mm lane coupon and test fully developed dry prints for scuffing and single-handed retrieval.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
135,98,,SKU-513,instax SQUARE 86 x 72 archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S42; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one 86 x 72 mm lane coupon and test fully developed dry prints for scuffing and single-handed retrieval.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
136,99,,SKU-514,instax WIDE 108 x 86 archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S43; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one 108 x 86 mm lane coupon and test fully developed dry prints for bow, scuffing and retrieval.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
137,100,,SKU-515,Polaroid i-Type 107 x 88 archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S44; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one 107 x 88 mm lane coupon and test the thicker Polaroid frame for lane depth and retrieval.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
138,101,,SKU-516,ISO/IEC 7810 ID-1 card archive divider set,Named-format archive dividers,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,98.0,5,3,5,5,4,4,3,S01; S31; S33; S11; S19; S32; S60; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print one ID-1 lane coupon and test flat, embossed and contactless cards for lane depth and retrieval.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
139,102,,SKU-538,iPhone 17 Pro no-case valet pod,Named-item valet pods,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,97.0,5,3,5,5,4,4,3,S01; S31; S11; S19; S32; S37; S38; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print a drawing-derived keep-out coupon and test the exact uncased device for free placement and pickup.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
140,103,,SKU-555,SINGER Class 15 transparent bobbin drawer cassette,Named-bobbin sewing cassettes,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,96.0,5,3,5,5,4,4,3,S33; S31; S11; S19; S32; S83; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print a post-and-recess coupon and test wound and empty transparent bobbins for seating, removal and thread snagging.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
141,104,,SKU-556,SINGER Class 15 metal bobbin drawer cassette,Named-bobbin sewing cassettes,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,96.0,5,3,5,5,4,4,3,S33; S31; S11; S19; S32; S83; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.",Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Print a post-and-recess coupon and confirm that a metal bobbin does not seat in the transparent-bobbin recess of SKU-555.,2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
142,105,,SKU-557,Brother SA156 Class 15 bobbin drawer cassette,Named-bobbin sewing cassettes,NOT_STARTED,,2 VALIDATE NEXT,88.0,2,2,1,96.0,5,3,5,5,4,4,3,S33; S31; S11; S19; S32; S82; S83; S53,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Measure five real SA156 bobbins, then print a post-and-recess coupon before any Brother or Baby Lock compatibility wording.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
143,106,,SKU-204,Folded-clothing shelf separator pair,Small-space dry organization,NOT_STARTED,,2 VALIDATE NEXT,87.0,2,3,1,89.0,5,3,5,4,5,4,3,S31; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 5/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
144,107,,SKU-207,Hair-accessory drawer channel set,Small-space dry organization,NOT_STARTED,,2 VALIDATE NEXT,87.0,2,3,1,90.0,5,3,5,4,5,4,3,S31; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 5/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
145,108,,SKU-209,Bedside glasses-and-earplug valet,Small-space dry organization,NOT_STARTED,,2 VALIDATE NEXT,87.0,1,2,1,88.0,4,3,5,5,4,5,3,S31; S32,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 4/5; creation effort 1/5, validation effort 2/5 and commercial risk 1/5.","Run demand and workflow validation before CAD capacity is assigned. Proposed gate: Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
