Record_ID,Working_SKU,Product_or_Model,Lifecycle_Stage,Portfolio_Source_Path,Source_Path_Exists,Model_Status,Parametric_Source_Present,Manufacturing_or_Neutral_Model_Present,3MF_Present,Representative_Model_Evidence,Model_File_Count,Source_File_Count,Portfolio_Contradiction,Audit_Date
PORT-082,MM-ORG-026,Personalized desk nameplate,P2 Digital print candidate,products/organization-storage/mm-org-026-personalized-desk-nameplate,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-026-personalized-desk-nameplate/exports/3mf/DRAFT-MM-ORG-026-personalized-desk-nameplate-0.1.0-draft.1.3mf,8,6,,2026-08-28
PORT-083,MM-ORG-027,Vinyl record-divider label set,P2 Digital print candidate,products/organization-storage/mm-org-027-vinyl-record-divider-label-set,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-027-vinyl-record-divider-label-set/exports/3mf/DRAFT-MM-ORG-027-shelfcue-selected-batch-0.1.0-draft.1.3mf,21,8,,2026-08-28
PORT-084,MM-ORG-028,Craft stamp and die index rack,P2 Digital print candidate,products/organization-storage/mm-org-028-craft-stamp-die-index-rack,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-028-craft-stamp-die-index-rack/exports/3mf/DRAFT-MM-ORG-028-divider-set-0.1.0-draft.1.3mf,17,8,,2026-08-28
PORT-085,MM-ORG-029,Craft-night modular personal supply caddy,P2 Digital print candidate,products/organization-storage/mm-org-029-craft-night-modular-personal-supply-caddy,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-029-craft-night-modular-personal-supply-caddy/exports/3mf/DRAFT-MM-ORG-029-four-caddy-system-0.1.0-draft.1.3mf,18,8,,2026-08-28
PORT-086,MM-ORG-030,Irregular-corner drawer organizer infill,P2 Digital print candidate,products/organization-storage/mm-org-030-irregular-corner-drawer-organizer-infill,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-030-irregular-corner-drawer-organizer-infill/exports/3mf/DRAFT-MM-ORG-030-cornerlab-three-presets-0.1.0-draft.1.3mf,12,7,,2026-08-28
PORT-087,MM-ORG-031,Shelf-side e-reader and book dock,P2 Digital print candidate,products/organization-storage/mm-org-031-pageharbor-shelf-side-ereader-book-dock,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-031-pageharbor-shelf-side-ereader-book-dock/exports/3mf/DRAFT-MM-ORG-031-pageharbor-duo-five-0.1.0-draft.1.3mf,10,5,,2026-08-28
PORT-088,MM-ORG-032,Paired thread-and-bobbin rack,P2 Digital print candidate,products/organization-storage/mm-org-032-pairpin-thread-bobbin-rack,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-032-pairpin-thread-bobbin-rack/exports/3mf/DRAFT-MM-ORG-032-pairpin-eight-0.1.0-draft.1.3mf,8,5,,2026-08-28
PORT-089,MM-ORG-033,Diamond-painting tray staging rack,P2 Digital print candidate,products/organization-storage/mm-org-033-diamond-painting-tray-staging-rack,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-033-diamond-painting-tray-staging-rack/exports/3mf/DRAFT-MM-ORG-033-gemstage-six-0.1.0-draft.1.3mf,5,4,,2026-08-28
PORT-090,MM-ORG-034,Snap-on journal pen loop,P2 Digital print candidate,products/organization-storage/mm-org-034-snap-on-journal-pen-loop,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-034-snap-on-journal-pen-loop/exports/3mf/DRAFT-MM-ORG-034-petg-clip-kit-0.1.0-draft.2.3mf,42,5,,2026-08-28
PORT-091,MM-ORG-035,Stamp and ink-pad desk organizer,P2 Digital print candidate,products/organization-storage/mm-org-035-stamp-and-ink-pad-desk-organizer,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-035-stamp-and-ink-pad-desk-organizer/exports/3mf/DRAFT-MM-ORG-035-inknest-duo-full-0.1.0-draft.2.3mf,14,5,,2026-08-28
PORT-092,MM-ORG-036,Deep-drawer height riser platform,P2 Digital print candidate,products/organization-storage/mm-org-036-deep-drawer-height-riser-platform,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-036-deep-drawer-height-riser-platform/exports/3mf/DRAFT-MM-ORG-036-liftdeck-full-0.1.0-draft.2.3mf,8,5,,2026-08-28
PORT-093,MM-ORG-037,Sewing bobbin and presser-foot drawer cassette,P2 Digital print candidate,products/organization-storage/mm-org-037-sewing-bobbin-presser-foot-drawer-cassette,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-037-sewing-bobbin-presser-foot-drawer-cassette/exports/3mf/DRAFT-MM-ORG-037-stitchcell-cb-kit-0.1.0-draft.1.3mf,12,5,,2026-08-28
PORT-094,MM-ORG-038,Milestone photo-and-card desk display block,P2 Digital print candidate,products/organization-storage/mm-org-038-milestone-photo-card-desk-display-block,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-038-milestone-photo-card-desk-display-block/exports/3mf/DRAFT-MM-ORG-038-momentpair-base-0.1.0-draft.1.3mf,4,5,,2026-08-28
PORT-095,MM-ORG-039,Coin-capsule and medal drawer cassette,P2 Digital print candidate,products/organization-storage/mm-org-039-coin-capsule-medal-drawer-cassette,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-039-coin-capsule-medal-drawer-cassette/exports/3mf/DRAFT-MM-ORG-039-collectorgrid-round-46-kit-0.1.0-draft.1.3mf,12,5,,2026-08-28
PORT-096,MM-TOY-002,TrailCam CF10 RC Camera Rover,P0 Idea,products/toys-games/mm-toy-002-trailcam-cf10-rc-camera-rover,YES,NO — report only; claimed source/STLs absent,NO,NO,NO,products/toys-games/mm-toy-002-trailcam-cf10-rc-camera-rover/docs/legacy/TrailCam_CF10_Entwurfsbericht_v0.1.0.pdf,0,0,,2026-08-29
